"View","Feature","Component","Probability"
"covariates","demo_prnt_marital_v2_bl","6",0.999999999999923
"fMRI","ad_cgc","1",0.999999999999923
"fMRI","cgc_ad","1",0.999999999999923
"fMRI","cgc_vs","4",0.999999999999923
"fMRI","sa_vs","4",0.999999999999923
"fMRI","vs_cgc","4",0.999999999999923
"fMRI","vs_sa","4",0.999999999999923
"fMRI","ad_smm","1",0.999799999999923
"fMRI","cgc_cgc","1",0.999799999999923
"fMRI","cgc_smm","1",0.999799999999923
"fMRI","smm_ad","1",0.999799999999923
"fMRI","smm_cgc","1",0.999799999999923
"fMRI","cgc_dla","2",0.998799999999923
"fMRI","dla_cgc","2",0.998599999999923
"fMRI","n_sa","1",0.998399999999923
"fMRI","sa_n","1",0.997999999999923
"CT_sMRI","mrisdp_131","6",0.997799999999923
"CT_sMRI","mrisdp_116","6",0.997199999999923
"CT_sMRI","mrisdp_85","6",0.996399999999923
"fMRI","vs_ad","4",0.996399999999923
"fMRI","ad_vs","4",0.995999999999923
"CT_sMRI","mrisdp_94","6",0.995399999999923
"SA_sMRI","mrisdp_402","1",0.994599999999923
"fMRI","ad_dt","2",0.994399999999923
"fMRI","dt_ad","2",0.993599999999923
"CT_sMRI","mrisdp_90","6",0.993199999999923
"fMRI","vta_sa","2",0.993199999999923
"fMRI","fo_fo","2",0.992799999999923
"fMRI","fo_cgc","2",0.992599999999923
"fMRI","fo_vta","4",0.992399999999923
"fMRI","cgc_cgc","6",0.991999999999923
"fMRI","rspltp_smh","5",0.991799999999923
"fMRI","sa_vta","2",0.991799999999923
"SA_sMRI","mrisdp_366","6",0.991599999999923
"fMRI","smh_rspltp","5",0.991599999999923
"fMRI","cgc_fo","2",0.990999999999923
"fMRI","vta_fo","4",0.990999999999923
"fMRI","ad_sa","1",0.990799999999924
"fMRI","sa_ad","1",0.988599999999924
"fMRI","vta_ad","2",0.988199999999924
"fMRI","ad_vta","2",0.987799999999924
"fMRI","ad_rspltp","5",0.986399999999924
"fMRI","rspltp_ad","5",0.985799999999924
"fMRI","smm_smm","5",0.985799999999924
"fMRI","ad_dt","1",0.985599999999924
"fMRI","dla_dla","2",0.984799999999924
"fMRI","dt_ad","1",0.984399999999924
"fMRI","sa_sa","6",0.983199999999924
"fMRI","vta_sa","6",0.983199999999924
"fMRI","ad_dt","6",0.982799999999924
"fMRI","dt_dt","3",0.982799999999924
"fMRI","fo_fo","5",0.982799999999924
"fMRI","sa_vta","6",0.982599999999924
"fMRI","dt_ad","6",0.982399999999924
"fMRI","sa_cgc","1",0.981799999999925
"fMRI","cgc_sa","1",0.979999999999925
"fMRI","rspltp_cgc","4",0.978399999999925
"fMRI","cgc_rspltp","4",0.977799999999925
"fMRI","ca_ca","5",0.977799999999925
"fMRI","rspltp_ad","4",0.977199999999925
"fMRI","ad_rspltp","4",0.976599999999925
"fMRI","vs_cgc","6",0.975799999999925
"CT_sMRI","mrisdp_16","6",0.973999999999925
"fMRI","cgc_vs","6",0.973999999999925
"CT_sMRI","mrisdp_81","4",0.973799999999925
"fMRI","rspltp_rspltp","2",0.973599999999925
"fMRI","ad_ad","1",0.973399999999925
"CT_sMRI","mrisdp_128","4",0.971799999999926
"fMRI","dt_vta","5",0.971599999999926
"fMRI","vta_dt","5",0.971599999999926
"fMRI","vs_smh","4",0.969799999999926
"fMRI","smh_vs","4",0.969199999999926
"fMRI","cgc_cgc","2",0.968999999999926
"CT_sMRI","mrisdp_80","6",0.968399999999926
"fMRI","smh_cgc","2",0.965199999999926
"fMRI","cgc_smh","2",0.964999999999926
"CT_sMRI","mrisdp_49","6",0.963199999999927
"CT_sMRI","mrisdp_44","6",0.962999999999927
"CT_sMRI","mrisdp_87","6",0.961999999999927
"fMRI","rspltp_ca","1",0.961799999999927
"fMRI","ad_ad","2",0.961599999999927
"fMRI","rspltp_rspltp","6",0.960999999999927
"fMRI","vs_vs","4",0.960999999999927
"CT_sMRI","mrisdp_22","6",0.959799999999927
"CT_sMRI","mrisdp_57","6",0.959399999999927
"CT_sMRI","mrisdp_14","6",0.959199999999927
"CT_sMRI","mrisdp_100","6",0.959199999999927
"CT_sMRI","mrisdp_112","6",0.958999999999927
"SA_sMRI","mrisdp_412","1",0.958799999999927
"fMRI","ca_rspltp","1",0.958599999999927
"fMRI","rspltp_n","2",0.957599999999927
"fMRI","n_rspltp","2",0.957199999999927
"fMRI","vs_vs","1",0.956999999999927
"fMRI","cgc_smh","1",0.956599999999927
"fMRI","vta_ad","4",0.956399999999927
"CT_sMRI","mrisdp_98","6",0.956199999999927
"fMRI","dt_fo","6",0.955999999999927
"fMRI","smh_ad","1",0.955999999999927
"fMRI","ad_smh","1",0.955599999999927
"fMRI","fo_dt","6",0.955599999999927
"fMRI","dt_fo","4",0.955399999999927
"fMRI","dt_vs","3",0.955199999999927
"fMRI","dt_dt","4",0.954599999999928
"fMRI","cgc_vta","1",0.953999999999928
"fMRI","cgc_smm","2",0.953799999999928
"fMRI","smh_cgc","1",0.953799999999928
"fMRI","vta_cgc","1",0.953599999999928
"fMRI","vta_sa","1",0.953399999999928
"fMRI","ad_vta","4",0.953199999999928
"fMRI","sa_vta","1",0.953199999999928
"CT_sMRI","mrisdp_104","6",0.952999999999928
"fMRI","ad_dt","3",0.952199999999928
"fMRI","fo_dt","4",0.952199999999928
"fMRI","vs_dt","3",0.952199999999928
"fMRI","dt_dt","1",0.951999999999928
"fMRI","rspltp_sa","2",0.951999999999928
"fMRI","dt_ad","3",0.951799999999928
"fMRI","smm_cgc","2",0.951599999999928
"fMRI","sa_rspltp","2",0.950999999999928
"CT_sMRI","mrisdp_102","4",0.950799999999928
"fMRI","sa_smh","5",0.950599999999928
"fMRI","vta_dla","4",0.950599999999928
"fMRI","dla_vta","4",0.950199999999928
"CT_sMRI","mrisdp_88","6",0.949599999999928
"fMRI","cgc_cgc","3",0.949599999999928
"fMRI","ca_dt","1",0.949399999999928
"fMRI","dla_dt","4",0.948999999999928
"fMRI","smh_sa","5",0.948799999999928
"fMRI","dt_ca","1",0.948199999999928
"fMRI","dt_dla","4",0.947799999999928
"fMRI","smh_smh","4",0.944599999999929
"fMRI","sa_smm","1",0.944199999999929
"CT_sMRI","mrisdp_79","6",0.943999999999929
"fMRI","dt_vs","2",0.943799999999929
"fMRI","vs_dt","2",0.942999999999929
"fMRI","smm_sa","1",0.942799999999929
"CT_sMRI","mrisdp_29","6",0.942599999999929
"fMRI","sa_dt","5",0.941799999999929
"CT_sMRI","mrisdp_103","6",0.941599999999929
"fMRI","dla_ad","1",0.941399999999929
"CT_sMRI","mrisdp_38","6",0.940599999999929
"CT_sMRI","mrisdp_5","6",0.940399999999929
"fMRI","cgc_ca","1",0.939799999999929
"CT_sMRI","mrisdp_5","4",0.939599999999929
"fMRI","ad_dla","1",0.939599999999929
"fMRI","smh_sa","1",0.939199999999929
"CT_sMRI","mrisdp_26","6",0.938999999999929
"fMRI","dt_sa","5",0.938799999999929
"fMRI","sa_smh","1",0.938799999999929
"CT_sMRI","mrisdp_30","6",0.938199999999929
"CT_sMRI","mrisdp_20","6",0.937999999999929
"fMRI","vta_smh","4",0.937799999999929
"CT_sMRI","mrisdp_3","6",0.937599999999929
"fMRI","ca_cgc","1",0.937399999999929
"CT_sMRI","mrisdp_24","6",0.936799999999929
"fMRI","ad_smh","4",0.936799999999929
"CT_sMRI","mrisdp_99","6",0.936599999999929
"fMRI","smh_rspltp","4",0.93639999999993
"fMRI","dt_vs","4",0.93619999999993
"fMRI","rspltp_smh","4",0.93619999999993
"CT_sMRI","mrisdp_25","6",0.93559999999993
"fMRI","ad_rspltp","1",0.93539999999993
"fMRI","dla_smh","1",0.93499999999993
"fMRI","rspltp_ad","1",0.93479999999993
"CT_sMRI","mrisdp_86","6",0.93459999999993
"fMRI","sa_vta","4",0.93459999999993
"fMRI","smh_dla","1",0.93439999999993
"fMRI","smh_ad","4",0.93419999999993
"fMRI","smh_vta","4",0.93419999999993
"CT_sMRI","mrisdp_78","6",0.93379999999993
"fMRI","ad_smh","5",0.93379999999993
"fMRI","vta_vta","4",0.93359999999993
"fMRI","vs_dt","4",0.93319999999993
"fMRI","rspltp_smh","1",0.93299999999993
"fMRI","ad_dla","4",0.93259999999993
"fMRI","vta_sa","4",0.93259999999993
"fMRI","ad_dt","4",0.93219999999993
"fMRI","dt_ad","4",0.93199999999993
"fMRI","smh_rspltp","1",0.93199999999993
"CT_sMRI","mrisdp_79","4",0.93179999999993
"CT_sMRI","mrisdp_74","6",0.93139999999993
"fMRI","vta_n","1",0.93099999999993
"fMRI","n_sa","4",0.93079999999993
"fMRI","vs_vs","3",0.93059999999993
"CT_sMRI","mrisdp_42","6",0.93039999999993
"fMRI","rspltp_rspltp","1",0.93019999999993
"fMRI","sa_ad","2",0.93019999999993
"fMRI","vs_cgc","1",0.93019999999993
"fMRI","dla_ad","4",0.92999999999993
"fMRI","ca_sa","1",0.92979999999993
"fMRI","n_dt","1",0.92979999999993
"fMRI","dt_n","1",0.92939999999993
"fMRI","rspltp_smm","1",0.92939999999993
"fMRI","smm_rspltp","1",0.92939999999993
"fMRI","cgc_vs","1",0.92919999999993
"fMRI","rspltp_n","4",0.92919999999993
"fMRI","rspltp_vs","1",0.92919999999993
"fMRI","ad_sa","2",0.92899999999993
"fMRI","sa_ca","1",0.92899999999993
"fMRI","n_vs","2",0.92879999999993
"fMRI","vs_rspltp","1",0.92839999999993
"fMRI","n_vta","1",0.92819999999993
"fMRI","ad_rspltp","2",0.92779999999993
"fMRI","cgc_cgc","4",0.92759999999993
"fMRI","fo_vta","1",0.92759999999993
"fMRI","vs_n","2",0.92759999999993
"fMRI","sa_n","4",0.927399999999931
"fMRI","smm_rspltp","5",0.927199999999931
"fMRI","dla_smm","1",0.926799999999931
"fMRI","n_rspltp","4",0.926799999999931
"fMRI","smh_ad","5",0.926599999999931
"fMRI","smm_dla","1",0.926399999999931
"CT_sMRI","mrisdp_12","6",0.926199999999931
"fMRI","vs_rspltp","4",0.926199999999931
"fMRI","rspltp_ad","2",0.925799999999931
"CT_sMRI","mrisdp_77","6",0.925599999999931
"fMRI","sa_n","6",0.925199999999931
"fMRI","dt_dt","6",0.924999999999931
"fMRI","vta_fo","1",0.924799999999931
"CT_sMRI","mrisdp_89","6",0.923999999999931
"CT_sMRI","mrisdp_148","6",0.923799999999931
"fMRI","cgc_rspltp","5",0.923799999999931
"fMRI","sa_sa","1",0.923799999999931
"fMRI","sa_dt","3",0.923599999999931
"fMRI","n_sa","6",0.922799999999931
"fMRI","rspltp_vs","4",0.922199999999931
"CT_sMRI","mrisdp_29","2",0.921999999999931
"CT_sMRI","mrisdp_19","6",0.921799999999931
"CT_sMRI","mrisdp_75","6",0.921599999999931
"fMRI","dt_sa","3",0.920999999999931
"CT_sMRI","mrisdp_136","6",0.920799999999931
"fMRI","sa_smh","4",0.918999999999931
"SA_sMRI","mrisdp_366","4",0.916799999999932
"fMRI","rspltp_smm","5",0.916599999999932
"fMRI","vta_vta","1",0.916399999999932
"fMRI","n_smh","5",0.915999999999932
"CT_sMRI","mrisdp_70","6",0.915799999999932
"fMRI","rspltp_cgc","5",0.915799999999932
"fMRI","vta_cgc","2",0.915799999999932
"fMRI","smh_sa","4",0.915399999999932
"fMRI","vs_dla","4",0.915199999999932
"fMRI","cgc_vta","2",0.914799999999932
"CT_sMRI","mrisdp_93","6",0.914599999999932
"fMRI","ca_ca","2",0.914199999999932
"CT_sMRI","mrisdp_120","6",0.913599999999932
"SA_sMRI","mrisdp_414","6",0.913199999999932
"CT_sMRI","mrisdp_102","6",0.912999999999932
"fMRI","dla_vs","4",0.912799999999932
"CT_sMRI","mrisdp_28","6",0.912399999999932
"CT_sMRI","mrisdp_4","6",0.912199999999932
"fMRI","dt_vta","1",0.911399999999932
"fMRI","smh_n","5",0.911399999999932
"fMRI","ca_sa","5",0.911199999999932
"fMRI","vta_dt","1",0.911199999999932
"fMRI","cgc_rspltp","1",0.910599999999932
"fMRI","n_ad","4",0.910399999999932
"fMRI","n_n","1",0.910199999999932
"CT_sMRI","mrisdp_83","6",0.909599999999932
"fMRI","rspltp_cgc","1",0.909399999999932
"fMRI","ad_n","4",0.908799999999933
"fMRI","dla_n","4",0.908199999999933
"fMRI","smm_vta","1",0.907999999999933
"fMRI","vta_smm","1",0.907799999999933
"CT_sMRI","mrisdp_29","4",0.906799999999933
"fMRI","n_n","6",0.906599999999933
"SA_sMRI","mrisdp_421","1",0.905999999999933
"CT_sMRI","mrisdp_103","2",0.905999999999933
"CT_sMRI","mrisdp_102","2",0.905399999999933
"fMRI","sa_ca","5",0.903999999999933
"fMRI","n_sa","3",0.902199999999933
"fMRI","dt_n","6",0.901599999999933
"fMRI","dt_dla","6",0.901399999999933
"CT_sMRI","mrisdp_7","6",0.900799999999933
"fMRI","dla_dt","6",0.900799999999933
"fMRI","smm_n","1",0.900799999999933
"fMRI","dla_cgc","5",0.900399999999933
"fMRI","n_dt","6",0.900399999999933
"fMRI","dla_sa","5",0.900199999999933
"fMRI","n_smm","1",0.900199999999933
"fMRI","cgc_dla","5",0.899999999999934
"fMRI","vs_n","1",0.899999999999934
"fMRI","n_vs","1",0.899799999999934
"SA_sMRI","mrisdp_340","6",0.899399999999934
"fMRI","sa_n","3",0.899399999999934
"fMRI","n_dla","4",0.898999999999934
"fMRI","dla_vs","5",0.898799999999934
"CT_sMRI","mrisdp_146","6",0.898199999999934
"CT_sMRI","mrisdp_134","6",0.897999999999934
"fMRI","dla_ad","5",0.897599999999934
"SA_sMRI","mrisdp_404","6",0.897399999999934
"fMRI","vs_dla","5",0.897199999999934
"fMRI","sa_dla","5",0.896799999999934
"CT_sMRI","mrisdp_34","6",0.896199999999934
"fMRI","ad_dla","5",0.895999999999934
"fMRI","dt_fo","1",0.895999999999934
"fMRI","fo_dt","1",0.895599999999934
"fMRI","rspltp_dla","6",0.895599999999934
"fMRI","cgc_n","1",0.895199999999934
"CT_sMRI","mrisdp_128","6",0.894999999999934
"SA_sMRI","mrisdp_336","6",0.894799999999934
"CT_sMRI","mrisdp_97","6",0.894799999999934
"CT_sMRI","mrisdp_118","6",0.893599999999934
"fMRI","n_cgc","1",0.893199999999934
"SA_sMRI","mrisdp_331","6",0.891799999999934
"CT_sMRI","mrisdp_144","6",0.891799999999934
"CT_sMRI","mrisdp_127","6",0.891199999999934
"fMRI","dla_n","5",0.889399999999935
"CT_sMRI","mrisdp_103","3",0.889199999999935
"fMRI","vs_vs","6",0.889199999999935
"fMRI","ad_cgc","2",0.888599999999935
"fMRI","n_dla","5",0.888399999999935
"fMRI","cgc_ad","2",0.888199999999935
"fMRI","ad_vta","1",0.887799999999935
"CT_sMRI","mrisdp_35","6",0.887199999999935
"fMRI","vta_ad","1",0.886799999999935
"SA_sMRI","mrisdp_326","6",0.886399999999935
"SA_sMRI","mrisdp_327","6",0.885599999999935
"fMRI","vs_cgc","3",0.884999999999935
"fMRI","ca_vta","3",0.884599999999935
"fMRI","cgc_vs","3",0.884399999999935
"fMRI","dla_rspltp","6",0.883599999999935
"SA_sMRI","mrisdp_366","2",0.882799999999935
"SA_sMRI","mrisdp_405","6",0.881799999999936
"CT_sMRI","mrisdp_27","6",0.881799999999936
"fMRI","dla_n","6",0.881599999999936
"CT_sMRI","mrisdp_115","6",0.881399999999936
"fMRI","smm_smh","5",0.880999999999936
"fMRI","dt_rspltp","4",0.880799999999936
"fMRI","n_dla","6",0.879999999999936
"CT_sMRI","mrisdp_73","6",0.879799999999936
"CT_sMRI","mrisdp_101","6",0.879199999999936
"fMRI","smm_sa","2",0.879199999999936
"fMRI","vta_ca","3",0.879199999999936
"CT_sMRI","mrisdp_1","6",0.878799999999936
"fMRI","rspltp_dt","4",0.878399999999936
"fMRI","sa_smm","2",0.878399999999936
"CT_sMRI","mrisdp_13","6",0.877999999999936
"fMRI","sa_sa","5",0.877399999999936
"fMRI","smm_rspltp","4",0.876199999999936
"fMRI","smm_smm","2",0.876199999999936
"fMRI","sa_smm","4",0.875599999999936
"fMRI","fo_fo","3",0.875399999999936
"fMRI","smm_sa","4",0.874799999999936
"fMRI","rspltp_smm","4",0.874599999999936
"fMRI","smh_fo","4",0.874199999999936
"fMRI","smm_dt","1",0.874199999999936
"CT_sMRI","mrisdp_96","6",0.873799999999936
"CT_sMRI","mrisdp_36","6",0.873599999999936
"CT_sMRI","mrisdp_81","6",0.873599999999936
"fMRI","fo_smh","4",0.873399999999936
"fMRI","sa_sa","3",0.873199999999936
"fMRI","ad_vs","1",0.872999999999936
"fMRI","ad_vs","2",0.872799999999937
"fMRI","dt_smm","1",0.872599999999937
"fMRI","fo_dla","2",0.872399999999937
"fMRI","smh_smm","5",0.872399999999937
"CT_sMRI","mrisdp_135","6",0.871799999999937
"fMRI","vta_dt","3",0.871599999999937
"fMRI","vs_ad","1",0.871599999999937
"fMRI","smm_smm","4",0.871399999999937
"fMRI","dt_vta","3",0.871199999999937
"fMRI","dt_n","4",0.870999999999937
"fMRI","vs_smh","1",0.870199999999937
"fMRI","smh_vs","1",0.869999999999937
"fMRI","smm_ad","3",0.869999999999937
"CT_sMRI","mrisdp_122","6",0.869799999999937
"fMRI","dla_fo","2",0.869799999999937
"fMRI","n_dt","4",0.869399999999937
"fMRI","cgc_fo","3",0.869199999999937
"fMRI","sa_dla","4",0.868999999999937
"fMRI","vs_ad","2",0.868599999999937
"fMRI","ad_smm","3",0.868199999999937
"fMRI","dla_dla","5",0.868199999999937
"fMRI","fo_cgc","3",0.867799999999937
"fMRI","fo_sa","3",0.867399999999937
"fMRI","smm_smm","1",0.867399999999937
"CT_sMRI","mrisdp_103","4",0.866999999999937
"fMRI","dt_smh","4",0.866999999999937
"fMRI","smh_ad","3",0.866999999999937
"CT_sMRI","mrisdp_21","6",0.866599999999937
"fMRI","ad_n","5",0.866199999999937
"fMRI","n_ad","5",0.865599999999937
"CT_sMRI","mrisdp_126","6",0.865399999999937
"fMRI","dla_sa","4",0.865399999999937
"fMRI","sa_fo","3",0.865399999999937
"fMRI","vs_rspltp","6",0.865199999999937
"CT_sMRI","mrisdp_28","4",0.864999999999937
"fMRI","ad_smh","3",0.864799999999937
"fMRI","smh_dt","4",0.864799999999937
"SA_sMRI","mrisdp_388","2",0.864399999999937
"CT_sMRI","mrisdp_28","2",0.864199999999937
"CT_sMRI","mrisdp_123","6",0.863999999999937
"SA_sMRI","mrisdp_421","2",0.863799999999938
"SA_sMRI","mrisdp_417","1",0.863399999999938
"CT_sMRI","mrisdp_9","6",0.863399999999938
"fMRI","rspltp_vs","6",0.863199999999938
"CT_sMRI","mrisdp_138","6",0.862999999999938
"SA_sMRI","mrisdp_346","2",0.862799999999938
"CT_sMRI","mrisdp_56","6",0.862599999999938
"CT_sMRI","mrisdp_132","6",0.862599999999938
"fMRI","dla_rspltp","4",0.862199999999938
"fMRI","smh_smh","3",0.861199999999938
"CT_sMRI","mrisdp_65","6",0.860999999999938
"CT_sMRI","mrisdp_133","6",0.860799999999938
"fMRI","rspltp_vta","4",0.860799999999938
"fMRI","rspltp_dla","4",0.860599999999938
"fMRI","dt_dla","3",0.859599999999938
"fMRI","vta_dt","6",0.859599999999938
"CT_sMRI","mrisdp_11","6",0.858599999999938
"CT_sMRI","mrisdp_46","6",0.858399999999938
"fMRI","dt_sa","4",0.858199999999938
"fMRI","dla_dt","3",0.858199999999938
"fMRI","sa_dt","4",0.857999999999938
"fMRI","vta_rspltp","4",0.857999999999938
"fMRI","dt_vta","6",0.857799999999938
"SA_sMRI","mrisdp_443","2",0.857599999999938
"fMRI","ad_dt","5",0.857399999999938
"SA_sMRI","mrisdp_330","6",0.856999999999938
"fMRI","cgc_sa","5",0.856999999999938
"fMRI","n_smh","4",0.856799999999938
"CT_sMRI","mrisdp_79","2",0.856399999999938
"CT_sMRI","mrisdp_95","6",0.855799999999938
"fMRI","cgc_vs","5",0.854399999999939
"fMRI","ad_n","3",0.854199999999939
"fMRI","ca_ca","3",0.853999999999939
"fMRI","dla_dla","3",0.853599999999939
"fMRI","sa_cgc","5",0.853399999999939
"CT_sMRI","mrisdp_58","6",0.853199999999939
"fMRI","dt_ad","5",0.853199999999939
"fMRI","vs_cgc","5",0.853199999999939
"fMRI","n_ad","3",0.852999999999939
"fMRI","rspltp_rspltp","4",0.852199999999939
"fMRI","sa_vs","1",0.851799999999939
"CT_sMRI","mrisdp_82","6",0.851399999999939
"fMRI","sa_rspltp","4",0.850799999999939
"CT_sMRI","mrisdp_54","6",0.850599999999939
"CT_sMRI","mrisdp_125","6",0.850399999999939
"SA_sMRI","mrisdp_410","6",0.849799999999939
"CT_sMRI","mrisdp_107","6",0.849599999999939
"CT_sMRI","mrisdp_67","6",0.849399999999939
"CT_sMRI","mrisdp_145","6",0.849399999999939
"SA_sMRI","mrisdp_378","2",0.848799999999939
"SA_sMRI","mrisdp_402","2",0.848599999999939
"fMRI","rspltp_sa","4",0.847999999999939
"fMRI","vta_n","6",0.847799999999939
"SA_sMRI","mrisdp_303","6",0.847399999999939
"CT_sMRI","mrisdp_76","6",0.847199999999939
"fMRI","smh_n","4",0.847199999999939
"CT_sMRI","mrisdp_5","2",0.846799999999939
"fMRI","vta_fo","5",0.846199999999939
"fMRI","vs_sa","1",0.845799999999939
"fMRI","smh_fo","5",0.84559999999994
"fMRI","fo_smh","5",0.84539999999994
"fMRI","fo_vta","5",0.84539999999994
"fMRI","n_vta","6",0.84459999999994
"fMRI","n_n","2",0.84399999999994
"fMRI","dla_dla","4",0.84359999999994
"CT_sMRI","mrisdp_139","6",0.84319999999994
"fMRI","n_n","4",0.84199999999994
"CT_sMRI","mrisdp_41","6",0.84179999999994
"fMRI","fo_dla","4",0.84179999999994
"fMRI","ca_ca","4",0.84139999999994
"CT_sMRI","mrisdp_28","1",0.84059999999994
"fMRI","dla_cgc","3",0.83979999999994
"fMRI","dla_fo","4",0.83979999999994
"fMRI","vs_n","4",0.83979999999994
"fMRI","cgc_dla","3",0.83919999999994
"fMRI","smh_ca","4",0.83919999999994
"CT_sMRI","mrisdp_40","6",0.83899999999994
"fMRI","vta_vs","1",0.83859999999994
"CT_sMRI","mrisdp_48","6",0.83839999999994
"fMRI","n_vs","4",0.83839999999994
"fMRI","vs_vta","1",0.83839999999994
"fMRI","ca_smh","4",0.83819999999994
"fMRI","n_ad","1",0.83779999999994
"fMRI","n_ca","1",0.83759999999994
"fMRI","cgc_smm","3",0.835599999999941
"fMRI","ca_n","1",0.834199999999941
"fMRI","rspltp_rspltp","5",0.832199999999941
"fMRI","ad_ad","5",0.831999999999941
"SA_sMRI","mrisdp_365","2",0.830999999999941
"fMRI","smh_sa","3",0.830599999999941
"fMRI","dla_vs","3",0.830399999999941
"SA_sMRI","mrisdp_344","6",0.829999999999941
"fMRI","cgc_fo","5",0.829999999999941
"SA_sMRI","mrisdp_382","6",0.829599999999941
"fMRI","smm_cgc","3",0.829599999999941
"fMRI","sa_smh","3",0.829199999999941
"fMRI","ad_n","1",0.828999999999941
"fMRI","rspltp_fo","4",0.828999999999941
"fMRI","fo_cgc","5",0.828799999999941
"SA_sMRI","mrisdp_325","6",0.828399999999941
"CT_sMRI","mrisdp_29","3",0.828199999999941
"SA_sMRI","mrisdp_381","1",0.827799999999941
"fMRI","vs_dla","3",0.827799999999941
"fMRI","smm_smh","3",0.827399999999942
"CT_sMRI","mrisdp_52","6",0.826799999999942
"fMRI","smm_ca","3",0.826799999999942
"fMRI","dla_n","3",0.826399999999942
"fMRI","ca_smm","3",0.825399999999942
"SA_sMRI","mrisdp_351","6",0.825199999999942
"CT_sMRI","mrisdp_45","6",0.824999999999942
"fMRI","smh_smm","3",0.824999999999942
"CT_sMRI","mrisdp_31","6",0.824399999999942
"fMRI","sa_cgc","3",0.824199999999942
"fMRI","cgc_sa","3",0.823799999999942
"fMRI","vta_vs","4",0.823399999999942
"fMRI","fo_rspltp","4",0.822599999999942
"fMRI","n_dla","3",0.822199999999942
"fMRI","fo_fo","4",0.821999999999942
"fMRI","smm_ca","2",0.821999999999942
"fMRI","smh_smh","1",0.820199999999942
"fMRI","vs_vta","4",0.820199999999942
"SA_sMRI","mrisdp_365","5",0.819999999999942
"CT_sMRI","mrisdp_3","4",0.819999999999942
"SA_sMRI","mrisdp_368","6",0.819599999999942
"fMRI","ca_smm","2",0.819599999999942
"CT_sMRI","mrisdp_19","1",0.818199999999943
"CT_sMRI","mrisdp_15","6",0.817799999999943
"fMRI","smh_rspltp","2",0.817199999999943
